ticker,company_name,event_date,cluster_start,cluster_end,n_unique_insiders,n_transactions,insider_names,total_value,avg_price,first_trade_date,last_trade_date,first_filing_date,last_filing_date
SSP,Scripps E W Co /de,2015-01-28 09:06:55,2015-01-27,2015-01-27,3,3,Attal Eva Scripps; Scripps Edward W; Scripps Gerald J.,1538775,16.72,2015-01-27,2015-01-27,2015-01-28 09:01:07,2015-01-28 09:06:55
ZSAN,Zosano Pharma Corp,2015-02-02 13:33:26,2015-01-30,2015-01-30,3,3,"Barrett M James; Biomed Realty Trust Inc; New Enterprise Associates 12, Limited Partnership",808027,11.0,2015-01-30,2015-01-30,2015-02-02 13:17:36,2015-02-02 13:33:26
FNWB,First Northwest Bancorp,2015-02-04 11:03:45,2015-01-29,2015-02-03,15,16,Blake David Arthur; Brady Patrick Edward; Davis Jeffrey Scott; Donohue Christopher A.; Eisenman Lloyd J.; Finnie Cindy H.; Flodstrom David T.; Gentilo Elaine T.; Hueth Laurence J.; Kott Richard G; Liske Kelly A.; Oliver Stephen E.; Tonina Norman J. Jr.; Wood Regina Marie; Zaccardo Jennifer,1199275,10.6375,2015-01-29,2015-02-03,2015-01-30 15:28:04,2015-02-04 11:03:45
ENTL,Entellus Medical Inc,2015-02-04 17:19:42,2015-02-03,2015-02-03,6,6,"Essex Woodlands Health Ventures Viii, L.L.C.; McCormick Shawn; Neels Guido J; Split Rock Partners, LP; Svlsf Iv, LLC; White Robert S.",17804984,17.0,2015-02-03,2015-02-03,2015-02-04 16:48:16,2015-02-04 17:19:42
FDBC,Fidelity D & D Bancorp Inc,2015-02-05 12:40:48,2015-02-03,2015-02-03,12,12,Cali Brian J; Cognetti John T; Defrancesco Salvatore R Jr; Dempsey Patrick J; Lettieri Richard J; McDonald Mary E; McDonald Michael J; O'Brien Timothy P; O'Donnell Kristin D; Santaniello Daniel J; Tressler David L; Walsh Eugene J,6187594,32.25,2015-02-03,2015-02-03,2015-02-04 16:21:29,2015-02-05 12:40:48
AMCC,Applied Micro Circuits Corp,2015-02-05 13:30:39,2015-02-04,2015-02-04,4,4,Cesaratto Cesar; Gray Paul R; Major Michael; Sproull Robert F.,40670,5.1274999999999995,2015-02-04,2015-02-04,2015-02-04 13:31:13,2015-02-05 13:30:39
FCZA,First Citizens Banc Corp /oh,2015-02-05 16:35:44,2015-01-27,2015-02-04,4,7,Murray William Patrick; Nickles Allen R; Springer John William; Wurm Gerald B,137987,10.29142857142857,2015-01-27,2015-02-04,2015-01-27 15:52:10,2015-02-05 16:35:44
MRTX,"Mirati Therapeutics, Inc.",2015-02-05 17:26:39,2015-01-29,2015-02-03,3,3,"Baker Bros. Advisors LP; Boxer Capital, LLC; Orbimed Advisors LLC",21500000,20.0,2015-01-29,2015-02-03,2015-02-02 16:55:24,2015-02-05 17:26:39
HBHC,Hancock Holding Co,2015-02-05 17:31:12,2015-01-28,2015-02-04,4,4,Hairston John M; Kendricks Samuel B; Loper D Shane; Schloegel George A,335162,27.532500000000002,2015-01-28,2015-02-04,2015-01-30 16:24:21,2015-02-05 17:31:12
RYAM,Rayonier Advanced Materials Inc.,2015-02-06 15:39:19,2015-01-29,2015-02-05,4,4,Boynton Paul G; Palumbo Lisa M; Posze James L Jr; Ruperto Frank A,428714,17.13,2015-01-29,2015-02-05,2015-01-30 11:28:30,2015-02-06 15:39:19
X,United States Steel Corp,2015-02-06 17:15:17,2015-01-30,2015-02-04,3,3,Burritt David B; Dennis Patricia Diaz; Stevens Robert J,1044898,23.919999999999998,2015-01-30,2015-02-04,2015-02-03 17:27:06,2015-02-06 17:15:17
SHAK,Shake Shack Inc.,2015-02-06 19:17:49,2015-01-29,2015-02-04,8,8,Flug Jeffrey; Garutti Randall J; Lyons Jenna; Meyer Daniel Harris; Rubenzer Peggy; Sokoloff Jonathan D; Uttz Jeffrey J; Vivian Robert T,2802400,21.11625,2015-01-29,2015-02-04,2015-02-06 18:39:22,2015-02-06 19:17:49
ONCE,"Spark Therapeutics, Inc.",2015-02-06 20:06:21,2015-02-04,2015-02-04,6,6,Children'S Hospital of Philadelphia Foundation; High Katherine A; Mehra Anand; Sigal Elliot; Vivaldi Coelho Rogerio; Webster Stephen W,7721100,23.0,2015-02-04,2015-02-04,2015-02-05 16:58:01,2015-02-06 20:06:21
SPA,Sparton Corp,2015-02-09 15:06:06,2015-02-05,2015-02-06,3,3,Fast James D; Pearson Donald W; Swartwout James R,98412,22.00666666666667,2015-02-05,2015-02-06,2015-02-09 12:58:58,2015-02-09 15:06:06
FBIZ,"First Business Financial Services, Inc.",2015-02-10 15:00:42,2015-02-03,2015-02-10,4,4,Bugher Mark D; Harris John J; Silseth John M; Voeks Dean W,80093,43.95,2015-02-03,2015-02-10,2015-02-03 16:08:01,2015-02-10 15:00:42
BZH,Beazer Homes USA Inc,2015-02-10 15:04:25,2015-02-03,2015-02-09,7,8,Acton Elizabeth S; Beazer Brian C; Khoury Kenneth F; Leemputte Peter G; Merrill Allan P; Salomon Robert L.; Zelnak Stephen P Jr,740023,15.17,2015-02-03,2015-02-09,2015-02-04 13:31:52,2015-02-10 15:04:25
OHRP,Ohr Pharmaceutical Inc,2015-02-10 15:55:27,2015-02-06,2015-02-06,4,4,Almenoff June Sherie; Backenroth Samuel; Slakter Jason Scott; Taraporewala Irach B.,275637,6.75,2015-02-06,2015-02-06,2015-02-10 12:46:11,2015-02-10 15:55:27
AVNU,"Avenue Financial Holdings, Inc.",2015-02-11 19:22:50,2015-02-09,2015-02-09,19,19,Anderson David Gwin; Britt April; Clark Argenia; Cleaver G. Kent; Deutsch James F.; Dickens Marty G; Dorn Aaron; Dorris Larry; Emery Patrick G; Galante Joseph C; Ingram David B; McCann James Peter; Moats E Andrew; Moore Stephen Fowler; Robold Ken; Samuel Ronald L; Saul Karen; Wooten Pete; Zipperian Barbara J,5048318,11.0,2015-02-09,2015-02-09,2015-02-11 18:53:28,2015-02-11 19:22:50
FARM,Farmer Brothers Co,2015-02-11 19:34:45,2015-02-09,2015-02-09,3,3,Marcy Charles F; Mattei Thomas J Jr; Mottern Christopher P,152081,24.436666666666667,2015-02-09,2015-02-09,2015-02-11 19:30:35,2015-02-11 19:34:45
UBSH,Union Bankshares Corp,2015-02-12 12:13:10,2015-02-03,2015-02-12,3,3,Beale G William; Tillett Ronald L; Wampler Keith L,149470,21.386666666666667,2015-02-03,2015-02-12,2015-02-05 11:08:27,2015-02-12 12:13:10
ALB,Albemarle Corp,2015-02-12 16:15:46,2015-01-30,2015-02-11,4,4,Maine Douglas L; Nokes Jim W; Obrien James J /ky; Sherman John Jr,696732,49.28,2015-01-30,2015-02-11,2015-01-30 16:49:57,2015-02-12 16:15:46
