n,mean,median,std,t_stat,p_value,hit_rate,ci_lower,ci_upper,window,significant,variant,num_events
2603,0.012189598920124464,0.006502462491377314,0.06060458184302324,10.261740809502907,3.0166379186822415e-24,0.606223588167499,0.009861376610970148,0.01451782122927878,"CAR(0,1)",True,baseline (3ins/30d),2664
2603,0.014720002483112853,0.006008100318923626,0.08161364268875147,9.201999493392375,7.006618263598911e-20,0.5509028044563965,0.011584683372563217,0.017855321593662488,"CAR(0,5)",True,baseline (3ins/30d),2664
2565,0.01652123890527013,0.004508803043236087,0.15447343564142085,5.4166714023661084,6.636485232497808e-08,0.5177387914230019,0.010543097377212046,0.022499380433328213,"CAR(0,30)",True,baseline (3ins/30d),2664
2551,0.0322955092601809,0.00889998003430259,0.26974335400343846,6.047092519384361,1.6911979741827171e-09,0.5307722461779695,0.021827801358070133,0.04276321716229166,"CAR(0,60)",True,baseline (3ins/30d),2664
5173,0.012280642940520404,0.006803075587329066,0.055638166205147124,15.875212091259586,1.8854881170014302e-55,0.6147303305625362,0.010764438934863545,0.013796846946177263,"CAR(0,1)",True,2ins/30d,5268
5171,0.013818931106638323,0.006825317496033878,0.07891649931539597,12.59197661837738,7.810902593556407e-36,0.5608199574550378,0.011667949907270329,0.015969912306006317,"CAR(0,5)",True,2ins/30d,5268
5098,0.016284409921008557,0.00564567568676666,0.1502234254687781,7.739880955198155,1.191889034986243e-14,0.5205963122793252,0.01216064579208603,0.020408174049931085,"CAR(0,30)",True,2ins/30d,5268
5060,0.03213390535461051,0.00953930095864386,0.24779417319130367,9.224602879096276,4.0882454084011633e-20,0.5306324110671937,0.0253062450942691,0.038961565614951926,"CAR(0,60)",True,2ins/30d,5268
1039,0.008999861928600701,0.004119563155797978,0.04766327901502841,6.086388972191119,1.622811712980068e-09,0.5649663137632339,0.006101636156200385,0.011898087701001018,"CAR(0,1)",True,5ins/30d,1061
1039,0.009189619790604857,-9.661254430359811e-06,0.07308571604938965,4.052964603507642,5.4348224207591114e-05,0.49951876804619827,0.0047455506827727,0.013633688898437014,"CAR(0,5)",True,5ins/30d,1061
1024,0.01645833066373162,0.0018274668520184,0.22928272760431614,2.2970181257975297,0.02181899120149254,0.5048828125,0.002414763597967254,0.030501897729495984,"CAR(0,30)",False,5ins/30d,1061
1017,0.020483189126960753,0.005164877377494603,0.2468496625933094,2.6462173556397888,0.008265557748782267,0.5142576204523107,0.005311702701902321,0.035654675552019184,"CAR(0,60)",True,5ins/30d,1061
2394,0.01248429724020342,0.006350774659015457,0.0629627757415381,9.701576386309808,7.457665607214706e-22,0.6031746031746031,0.009962106864490049,0.01500648761591679,"CAR(0,1)",True,3ins/14d,2447
2394,0.013883578038895948,0.0051369934976059906,0.08412333259124344,8.075083273312329,1.0571503632794245e-15,0.5459482038429407,0.010513728832985033,0.017253427244806864,"CAR(0,5)",True,3ins/14d,2447
2359,0.01550660555801296,0.0034498917293085407,0.1512281046665576,4.980216250967953,6.81130019362032e-07,0.5154726579058924,0.009403869178282814,0.021609341937743106,"CAR(0,30)",True,3ins/14d,2447
2345,0.03240048225194232,0.007423717043907541,0.27153112250036027,5.77834253531656,8.54654026999983e-09,0.5211087420042644,0.021410315984423205,0.043390648519461436,"CAR(0,60)",True,3ins/14d,2447
2777,0.01218338144867551,0.006409598534387828,0.058464664974771645,10.981516444323573,1.7107807146253124e-27,0.6074900972272236,0.01000887050927356,0.01435789238807746,"CAR(0,1)",True,3ins/60d,2839
2776,0.01423393487427975,0.006429160361625941,0.07933590867051825,9.45289654848039,6.77123226827134e-21,0.5565561959654178,0.011282615962609955,0.017185253785949546,"CAR(0,5)",True,3ins/60d,2839
2735,0.024641518299288453,0.011819063011617281,0.18936336288302386,6.805345383800571,1.2340500718825376e-11,0.5469835466179159,0.017544541857567753,0.03173849474100915,"CAR(0,30)",True,3ins/60d,2839
2718,0.033494765759505316,0.012351887234801295,0.24827606026973156,7.033424435663625,2.5399993242717076e-12,0.5367917586460633,0.024160800279511334,0.0428287312394993,"CAR(0,60)",True,3ins/60d,2839
