n,mean,median,std,t_stat,p_value,hit_rate,ci_lower,ci_upper,window,significant,subsample,num_events
2603,0.012189598920124455,0.0065024624913773,0.06060458184302322,10.261740809502905,3.0166379186823186e-24,0.606223588167499,0.009861376610970139,0.014517821229278772,"CAR(0,1)",True,full sample (baseline),2664
2603,0.014720002483112851,0.0060081003189236,0.08161364268875146,9.201999493392377,7.006618263598832e-20,0.5509028044563965,0.011584683372563215,0.017855321593662488,"CAR(0,5)",True,full sample (baseline),2664
2565,0.01652123890527013,0.004508803043236,0.15447343564142083,5.4166714023661084,6.636485232497808e-08,0.5177387914230019,0.010543097377212048,0.022499380433328213,"CAR(0,30)",True,full sample (baseline),2664
2551,0.032295509260180905,0.0088999800343025,0.26974335400343846,6.047092519384362,1.6911979741827037e-09,0.5307722461779695,0.02182780135807014,0.04276321716229167,"CAR(0,60)",True,full sample (baseline),2664
1123,0.008124620088175227,0.004564945436962,0.04596052934605715,5.923902724307478,4.176552446022942e-09,0.6001780943900267,0.005436484223370823,0.01081275595297963,"CAR(0,1)",True,2015-2019,1176
1123,0.00862266124027075,0.0037229775801868,0.06374488969137271,4.533001141806128,6.438700336122499e-06,0.5369545859305432,0.004894355091158051,0.012350967389383448,"CAR(0,5)",True,2015-2019,1176
1123,0.016268927720174083,0.0051790440137017,0.13127417957921517,4.153072331659049,3.5291615812470974e-05,0.5307212822796082,0.008590973717672257,0.02394688172267591,"CAR(0,30)",True,2015-2019,1176
1123,0.019779222825717528,0.007978228847903,0.20169636981772204,3.2862531809158493,0.0010467263998065219,0.5307212822796082,0.00798242123917566,0.031576024412259394,"CAR(0,60)",True,2015-2019,1176
1480,0.015274038939231875,0.008162808343313649,0.06954993631210332,8.448663528622665,6.948663634680215e-17,0.6108108108108108,0.011730624502206124,0.018817453376257624,"CAR(0,1)",True,2020-2024,1488
1480,0.019346566142377498,0.007314445853515299,0.0926610210704004,8.032258348209254,1.9366699752466933e-15,0.5614864864864865,0.01462569338216383,0.024067438902591165,"CAR(0,5)",True,2020-2024,1488
1442,0.01671773367701969,0.0030639571390912498,0.17041164201874043,3.725295874195658,0.00020261875429643353,0.507628294036061,0.00792198721459048,0.0255134801394489,"CAR(0,30)",True,2020-2024,1488
1428,0.0421384992222974,0.0120223892945452,0.31275493272669114,5.0914208845234885,4.027852375468994e-07,0.530812324929972,0.025916807802764966,0.05836019064182983,"CAR(0,60)",True,2020-2024,1488
1943,0.013393422744267412,0.0070804186780477,0.062388044881060166,9.462951218953565,8.3356649044354e-21,0.6191456510550695,0.01061932954951595,0.016167515939018873,"CAR(0,1)",True,top 75% market cap,1998
1943,0.01606347730428844,0.0067345987047666,0.08512823738721832,8.317682202675742,1.6662986604937254e-16,0.5568708183221822,0.012278238249798356,0.019848716358778527,"CAR(0,5)",True,top 75% market cap,1998
1918,0.019547891680633922,0.0077534711250598,0.15029669173604993,5.696063262174104,1.4160079788724595e-08,0.529718456725756,0.012821514895377039,0.026274268465890805,"CAR(0,30)",True,top 75% market cap,1998
1909,0.035029514898918174,0.0118907540861916,0.2265387857664155,6.7560758839511506,1.876706275360895e-11,0.5400733368255631,0.024867129161810896,0.04519190063602545,"CAR(0,60)",True,top 75% market cap,1998
